city,tier,label,sublabel,distance,agoda_url,bookingcom_url,tripcom_url,booking_url,base_sar_per_night,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar,ref_current_sar,ref_source,ref_url,akurasi
MADINAH,STANDARD,Kingsgate Deyar Hotel,OTA researched - 2027 added - standard Madinah,900m jalan kaki / 11 min walk,,,,,500,950,950,755,645,500,525,550,600,600,650,700,1100,,,,
MADINAH,PREMIUM,Grand Millenium Al Haram,OTA researched - 2027 added - premium dekat Nabawi,200m / 3 min walk,,,,,905,1600,1600,1270,1080,905,950,1000,1150,1150,1250,1400,2400,,,,
MADINAH,PELATARAN,Al Andalus Al Fakher,OTA researched - 2027 added - jarak belum terkonfirmasi,,,,,,620,830,940,810,745,620,650,650,700,700,700,800,800,,,,
MADINAH,STANDARD,Kayan International,OTA researched - 2027 added - standard dekat Nabawi,200m / 3 min walk,,,,,310,470,545,435,370,310,325,340,340,340,360,410,455,,,,
MADINAH,STANDARD,Wardat Alrayan,OTA researched - 2027 added - standard Madinah,700m jalan kaki / 8 min walk,,,,,280,430,495,400,340,280,295,310,310,310,330,375,415,,,,
MADINAH,STANDARD,Wrdat Alsaadah,OTA researched - 2027 added - standard Madinah,200m jalan kaki,,,,,270,415,480,385,330,270,285,300,300,300,320,360,405,,,,
MADINAH,STANDARD,Dar Al-Naeem Hotel,OTA researched - 2027 added - standard Madinah,300-600m jalan kaki,,,,,300,475,535,425,360,300,315,330,330,360,410,410,455,,,,
MADINAH,STANDARD,Manazil Al Marsa,OTA researched - 2027 added - standard Madinah,800m jalan kaki / 9 min walk,,,,,525,830,830,660,560,525,550,580,580,630,630,630,830,,,,
MADINAH,STANDARD,Jiwar Al Sana,OTA researched - 2027 added - nama & jarak perlu konfirmasi,,,,,,530,810,810,645,595,530,560,560,560,610,610,610,810,,,,
MADINAH,ECONOMY,Baraa Taibah,OTA researched - 2027 added - ekonomi Madinah - jarak perlu konfirmasi,,,,,,380,690,690,550,465,380,400,420,420,500,500,500,690,,,,
MADINAH,PREMIUM,Makarem Haram View Suites,OTA researched - 2027 added - premium Madinah,400-700m jalan kaki,,,,,1210,1770,2170,1720,1465,1210,1275,1275,1275,1275,1360,1535,1710,,,,
MADINAH,STANDARD,Waqaf Uthman Ben Affan Hotel,OTA researched - 2027 added - standard Madinah,530-900m jalan kaki,,,,,490,900,915,715,610,490,515,540,540,610,690,690,690,,,,
MADINAH,STANDARD,Al Mokhtara International Hotel,OTA researched - 2027 added - Mokhtara group standard,630m jalan kaki / 8 min walk,,,,,435,830,830,660,560,435,455,480,480,550,650,650,650,,,,
MADINAH,ECONOMY,Al Mokhtara Golden Hotel,OTA researched - 2027 added - Mokhtara group ekonomi,680m jalan kaki / 9 min walk,,,,,360,600,600,475,405,360,380,400,400,440,460,460,460,,,,
MADINAH,ECONOMY,Rawdit Al Mokhtara Hotel,OTA researched - 2027 added - Mokhtara group ekonomi,790m jalan kaki / 10 min walk,,,,,355,590,635,470,400,355,370,390,390,430,450,450,450,,,,
MADINAH,STANDARD,Mokhtara Plaza Hotel,OTA researched - 2027 added - Mokhtara group standard,590m jalan kaki / 8 min walk,,,,,370,600,600,475,405,370,390,410,410,440,460,460,460,,,,
MADINAH,ECONOMY,Borj Al Mokhtara,OTA researched - 2027 added - Mokhtara group ekonomi,1 km jalan kaki / 13 min walk,,,,,310,460,460,365,310,310,325,340,340,360,380,380,380,,,,
