city,tier,label,room_type,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar
MAKKAH,PELATARAN,AZKA Al Safa,DOUBLE,875,955,735,615,490,,,,565,615,715,820
MAKKAH,PELATARAN,AZKA Al Safa,TRIPLE,925,1005,785,665,540,,,,650,700,800,905
MAKKAH,PELATARAN,AZKA Al Maqam,DOUBLE,935,1035,790,655,515,,,,615,665,780,890
MAKKAH,PELATARAN,AZKA Al Maqam,TRIPLE,1005,1105,860,725,585,,,,715,765,880,990
MAKKAH,ECONOMY,Saif Al Yamani,QUINT,250,255,205,175,145,,,,195,210,235,265
MAKKAH,ECONOMY,Saif Al Yamani,TRIPLE,250,255,205,175,145,,,,195,210,235,265
MAKKAH,STANDARD,Maysan Al Mashaer,DOUBLE,790,885,670,545,425,,,,,570,665,760
MAKKAH,STANDARD,Maysan Al Mashaer,TRIPLE,870,965,750,625,505,,,,,650,745,840
MAKKAH,STANDARD,Maysan Al Maqam,DOUBLE,590,655,500,410,325,,,,,425,495,565
MAKKAH,STANDARD,Maysan Al Maqam,TRIPLE,640,705,550,460,375,,,,,475,545,615
MAKKAH,STANDARD,Royal Majestic,DOUBLE,610,675,515,425,330,,,,,445,515,585
MAKKAH,STANDARD,Royal Majestic,TRIPLE,660,725,565,475,380,,,,,495,565,635
MAKKAH,PELATARAN,Grand Al Massa,DOUBLE,630,710,540,445,350,,,,,460,530,605
MAKKAH,PELATARAN,Grand Al Massa,TRIPLE,680,760,590,495,400,,,,,510,580,655
MAKKAH,STANDARD,Snood Ajyad,DOUBLE,575,685,525,435,340,,,,,420,490,555
MAKKAH,STANDARD,Snood Ajyad,TRIPLE,620,730,570,480,385,,,,,465,535,600
MADINAH,STANDARD,Maysan Altaqwa,DOUBLE,540,655,520,430,335,,,,,,455,520
MADINAH,STANDARD,Maysan Altaqwa,TRIPLE,590,705,570,480,385,,,,,,505,570
MADINAH,PELATARAN,Grand Plaza Badr al maqom,DOUBLE,765,945,760,620,485,,,,,,645,735
MADINAH,PELATARAN,Grand Plaza Badr al maqom,TRIPLE,845,1025,840,700,565,,,,,,725,815
MADINAH,STANDARD,Grand Plaza Al Madina,DOUBLE,695,860,695,575,450,,,,,,585,665
MADINAH,STANDARD,Grand Plaza Al Madina,TRIPLE,765,930,765,645,520,,,,,,655,735
