city,tier,label,room_type,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar
MADINAH,PELATARAN,Bosphorus,QUAD,1815,1815,1440,1250,1055,1110,1110,1230,1355,1355,1383,1815
MADINAH,PREMIUM,Maden Taiba,QUAD,2830,3205,2545,1355,1120,1180,1180,1280,1280,1330,1480,1480
MADINAH,STANDARD,Peninsula Worth,QUAD,1230,1230,975,935,855,900,900,900,1020,1020,1020,1530
MADINAH,PREMIUM,Dallah Taiba,QUAD,1924,2235,1775,1410,1075,1130,1189,1139,1139,1139,1139,1199
MADINAH,PELATARAN,Grand Plaza Badr al maqom,QUAD,1015,1015,920,780,645,680,680,680,680,710,885,1015
MADINAH,PREMIUM,Millennium al Aqeeq,QUAD,1180,1335,1245,1215,1000,1055,1055,1005,1005,1090,1090,1090
MADINAH,PREMIUM,Movenpick,QUAD,1420,1610,1595,1355,1120,1180,1180,1180,1180,1230,1230,1370
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,QUAD,1005,1005,800,775,715,755,755,755,905,905,905,1430
MADINAH,PREMIUM,Al Ritz Al Madinah,QUAD,1170,1170,930,850,750,790,790,850,850,930,930,1170
MADINAH,STANDARD,Grand Plaza Al Madina,QUAD,890,890,835,715,590,620,620,620,620,640,765,890
MADINAH,PREMIUM,Elaf Taiba,QUAD,1155,1155,915,970,955,1005,1005,1005,1005,1105,1105,1105
MADINAH,PELATARAN,Nozol Royal Inn,QUAD,2330,2640,2095,1070,885,930,930,1030,1030,1080,1280,1280
MADINAH,PREMIUM,Taiba Front,QUAD,1360,1615,1285,1095,905,950,950,950,935,995,1125,1250
MADINAH,PELATARAN,Emaar Elite Al Madina Hotel,QUAD,980,980,780,750,695,730,730,730,880,880,880,1405
MADINAH,PELATARAN,Emaar Mektan Hotel,QUAD,980,980,780,750,695,730,730,730,880,880,880,1405
MADINAH,STANDARD,Emaar Taibah,QUAD,630,630,500,495,465,490,490,490,575,575,575,750
MADINAH,STANDARD,Mokhtara Diamond Al Masi,QUAD,730,765,580,550,505,530,530,560,560,590,590,730
MADINAH,PREMIUM,Sanabel,QUAD,995,1135,900,765,635,665,700,730,715,765,865,960
MADINAH,STANDARD,Maysan Altaqwa,QUAD,710,710,620,530,435,460,460,460,460,490,580,710
MADINAH,STANDARD,Zowar al Alami,QUAD,910,910,725,655,570,600,600,650,650,730,730,910
MADINAH,ECONOMY,ODEST,QUAD,910,910,725,655,570,600,600,505,650,730,730,910
MADINAH,STANDARD,Al Mokhtara al Gharbi,QUAD,710,710,565,535,485,510,510,540,540,570,570,710
MADINAH,STANDARD,Grand Zowar,QUAD,700,700,555,525,475,500,500,530,530,560,560,700
MADINAH,STANDARD,Diyafa al Mukhtara,QUAD,700,700,555,525,475,500,500,530,530,560,560,700
MAKKAH,STANDARD,Prestige Ajyad,QUAD,1215,1375,1095,930,770,810,810,850,835,885,1005,1120
MAKKAH,PREMIUM,Anjum,QUAD,1200,1420,1125,960,795,835,835,835,865,985,985,985
MAKKAH,PREMIUM,Elaf Kinda,QUAD,1260,1260,1260,1260,1070,1160,1160,1220,1220,1220,1220,1220
MAKKAH,PREMIUM,Movenpick,QUAD,1750,1750,1390,1455,1425,1500,1500,1600,1600,1775,1775,1775
MAKKAH,PREMIUM,Pullman Zam-Zam,QUAD,1680,1905,1755,1700,1405,1480,1480,1550,1525,1625,1625,1625
MAKKAH,PREMIUM,Le Meridien Makkah,QUAD,1100,1100,875,960,975,1025,1025,1025,1100,1100,1100,1400
MAKKAH,PREMIUM,Makkah Hotel Tower,QUAD,2020,2020,1820,1820,1615,1820,1820,1920,1920,1920,2020,2020
MAKKAH,PREMIUM,Makkah Tower,QUAD,1700,1700,1500,1500,1330,1500,1500,1600,1600,1600,1700,1700
MAKKAH,PELATARAN,AZKA Al Safa,QUAD,975,1055,835,715,590,620,700,750,735,785,885,990
MAKKAH,STANDARD,Al Olayan Ajyad,QUAD,980,980,1105,945,780,820,820,910,910,980,980,1330
MAKKAH,PREMIUM,Millennium,QUAD,400,400,320,365,380,400,400,400,400,400,400,465
MAKKAH,PELATARAN,Grand Al Massa,QUAD,730,810,640,545,450,475,535,595,595,675,695,695
MAKKAH,STANDARD,Maysan Al Mashaer,QUAD,950,1045,830,705,585,615,695,740,710,870,870,870
MAKKAH,STANDARD,Maysan Al Maqam,QUAD,690,755,600,510,425,445,515,550,555,640,640,640
MAKKAH,STANDARD,Royal Majestic,QUAD,710,775,615,525,430,455,580,610,560,620,700,700
MAKKAH,STANDARD,Snood Ajyad,QUAD,665,775,615,525,430,455,455,530,555,630,630,630
MAKKAH,STANDARD,Le Meridien Towers,QUAD,545,545,435,480,485,510,510,545,545,545,545,715
MAKKAH,PELATARAN,AZKA Al Maqam,QUAD,1075,1175,930,795,655,690,780,820,805,855,970,1080
MAKKAH,STANDARD,Manazel Ajyad,QUAD,690,690,690,690,580,620,620,660,660,660,660,660
MAKKAH,STANDARD,Elaf Bakkah,QUAD,500,500,500,500,415,440,440,480,480,480,480,480
MAKKAH,STANDARD,Elaf Qinwan,QUAD,460,460,460,460,380,400,400,440,440,440,440,440
MAKKAH,STANDARD,Al fouad Tower,QUAD,720,860,680,580,480,505,520,520,520,555,625,700
MAKKAH,PELATARAN,Mira Ajyad,QUAD,850,1005,835,715,590,620,620,620,650,650,650,820
MAKKAH,ECONOMY,Saif al Majid,QUAD,580,690,545,465,385,405,405,405,400,425,480,535
MAKKAH,ECONOMY,Saif Al Yamani,QUAD,250,255,205,175,145,150,170,200,195,210,235,265
MAKKAH,STANDARD,Miaad al Majd,QUAD,500,595,475,400,335,350,350,350,345,365,415,460
MADINAH,STANDARD,Kingsgate Deyar Hotel,QUAD,950,950,755,645,500,525,550,600,600,650,700,1100
MADINAH,PREMIUM,Grand Millenium Al Haram,QUAD,1600,1600,1270,1080,905,950,1000,1150,1150,1250,1400,2400
MADINAH,PELATARAN,Al Andalus Al Fakher,QUAD,830,940,810,745,620,650,650,730,730,830,830,800
MADINAH,STANDARD,Kayan International,QUAD,470,545,435,370,310,325,340,340,340,360,410,455
MADINAH,STANDARD,Wardat Alrayan,QUAD,430,495,400,340,280,295,310,310,310,330,375,415
MADINAH,STANDARD,Wrdat Alsaadah,QUAD,415,480,385,330,270,285,300,300,300,320,360,405
MADINAH,STANDARD,Dar Al-Naeem Hotel,QUAD,475,535,425,360,300,315,330,330,360,410,410,455
MADINAH,STANDARD,Manazil Al Marsa,QUAD,830,830,660,560,525,550,580,580,630,630,630,830
MADINAH,STANDARD,Jiwar Al Sana,QUAD,810,810,645,595,530,560,560,560,610,610,610,810
MADINAH,ECONOMY,Baraa Taibah,QUAD,690,690,550,465,380,400,420,420,500,500,500,690
MADINAH,PREMIUM,Makarem Haram View Suites,QUAD,1770,2170,1720,1465,1210,1275,1275,1275,1275,1360,1535,1710
MADINAH,STANDARD,Waqaf Uthman Ben Affan Hotel,QUAD,1010,915,715,610,490,515,650,700,700,760,760,1010
MADINAH,STANDARD,Al Mokhtara International Hotel,QUAD,890,830,660,560,435,455,580,630,630,710,710,890
MADINAH,ECONOMY,Al Mokhtara Golden Hotel,QUAD,710,600,475,405,360,380,510,540,540,570,570,710
MADINAH,ECONOMY,Rawdit Al Mokhtara Hotel,QUAD,710,635,470,400,355,370,510,540,540,570,570,710
MADINAH,STANDARD,Mokhtara Plaza Hotel,QUAD,730,600,475,405,370,390,530,560,560,590,590,730
MADINAH,ECONOMY,Borj Al Mokhtara,QUAD,460,460,365,310,310,325,340,340,360,380,380,380
MAKKAH,PELATARAN,AZKA Al Safa,DOUBLE,,,,,,520,550,580,,,,
MAKKAH,PELATARAN,AZKA Al Safa,TRIPLE,,,,,,570,625,665,,,,
MAKKAH,PELATARAN,AZKA Al Maqam,DOUBLE,,,,,,550,600,630,,,,
MAKKAH,PELATARAN,AZKA Al Maqam,TRIPLE,,,,,,620,690,730,,,,
MAKKAH,ECONOMY,Saif Al Yamani,QUINT,,,,,,150,170,200,,,,
MAKKAH,ECONOMY,Saif Al Yamani,TRIPLE,,,,,,150,170,200,,,,
MAKKAH,STANDARD,Maysan Al Mashaer,DOUBLE,,,,,,455,535,580,550,710,710,710
MAKKAH,STANDARD,Maysan Al Mashaer,TRIPLE,,,,,,535,615,660,630,790,790,790
MAKKAH,STANDARD,Maysan Al Maqam,DOUBLE,,,,,,345,415,450,455,540,540,540
MAKKAH,STANDARD,Maysan Al Maqam,TRIPLE,,,,,,395,465,500,505,590,590,590
MAKKAH,STANDARD,Royal Majestic,DOUBLE,,,,,,355,480,510,460,520,600,600
MAKKAH,STANDARD,Royal Majestic,TRIPLE,,,,,,405,530,560,510,570,650,650
MAKKAH,PELATARAN,Grand Al Massa,DOUBLE,,,,,,375,435,495,495,575,595,595
MAKKAH,PELATARAN,Grand Al Massa,TRIPLE,,,,,,425,485,545,545,625,645,645
MAKKAH,STANDARD,Snood Ajyad,DOUBLE,,,,,,365,365,440,465,540,540,540
MAKKAH,STANDARD,Snood Ajyad,TRIPLE,,,,,,410,410,485,510,585,585,585
MADINAH,STANDARD,Maysan Altaqwa,DOUBLE,610,610,,,,360,360,360,360,390,480,610
MADINAH,STANDARD,Maysan Altaqwa,TRIPLE,660,660,,,,410,410,410,410,440,530,660
MADINAH,PELATARAN,Grand Plaza Badr al maqom,DOUBLE,855,855,,,,520,520,520,520,550,725,855
MADINAH,PELATARAN,Grand Plaza Badr al maqom,TRIPLE,935,935,,,,600,600,600,600,630,805,935
MADINAH,STANDARD,Grand Plaza Al Madina,DOUBLE,750,750,,,,480,480,480,480,500,625,750
MADINAH,STANDARD,Grand Plaza Al Madina,TRIPLE,820,820,,,,550,550,550,550,570,695,820
MAKKAH,PREMIUM,Anjum,DOUBLE,,,,,,,595,595,625,745,745,745
MAKKAH,PREMIUM,Anjum,TRIPLE,,,,,,,715,715,745,865,865,865
MAKKAH,PELATARAN,Mira Ajyad,DOUBLE,,,,,,500,500,500,530,530,530,
MAKKAH,PELATARAN,Mira Ajyad,TRIPLE,,,,,,560,560,560,590,590,590,
MAKKAH,PELATARAN,Mira Ajyad,QUINT,,,,,,690,690,690,720,720,710,
MAKKAH,STANDARD,Al Olayan Ajyad,DOUBLE,780,780,,,,620,620,710,710,780,780,1030
MAKKAH,STANDARD,Al Olayan Ajyad,TRIPLE,880,880,,,,720,720,810,810,880,880,1180
