city,tier,hotel_name,hotel_listing_slug,offer_label,room_type,rate_label,period_start,period_end,period_label,room_basis,currency,price_amount,max_adults,max_guests,min_nights,inclusions,cancellation_policy,sort_order,verified_at,status,notes,terms
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 16 Jun - 31 Aug 2026,Single Room,FB meal plan,2026-06-16,2026-08-31,16 Jun - 31 Aug 2026,per kamar per malam,SAR,1485,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,0,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 JUNE 2026 TO 31 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 16 Jun - 31 Aug 2026,Double Room,FB meal plan,2026-06-16,2026-08-31,16 Jun - 31 Aug 2026,per kamar per malam,SAR,1890,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,1,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 JUNE 2026 TO 31 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 16 Jun - 31 Aug 2026,Triple Room,FB meal plan,2026-06-16,2026-08-31,16 Jun - 31 Aug 2026,per kamar per malam,SAR,2480,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,2,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 JUNE 2026 TO 31 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF Sep 2026,Single Room,FB meal plan,2026-09-01,2026-09-30,Sep 2026,per kamar per malam,SAR,1790,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,3,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 SEP 2026 TO,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF Sep 2026,Double Room,FB meal plan,2026-09-01,2026-09-30,Sep 2026,per kamar per malam,SAR,2195,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,4,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 SEP 2026 TO,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF Sep 2026,Triple Room,FB meal plan,2026-09-01,2026-09-30,Sep 2026,per kamar per malam,SAR,2790,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,5,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 SEP 2026 TO,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 1 Nov - 18 Nov 2026,Single Room,FB meal plan,2026-11-01,2026-11-18,1 Nov - 18 Nov 2026,per kamar per malam,SAR,1855,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,6,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 NOV 2026 TO 18 NOV 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 1 Nov - 18 Nov 2026,Double Room,FB meal plan,2026-11-01,2026-11-18,1 Nov - 18 Nov 2026,per kamar per malam,SAR,2260,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,7,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 NOV 2026 TO 18 NOV 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 1 Nov - 18 Nov 2026,Triple Room,FB meal plan,2026-11-01,2026-11-18,1 Nov - 18 Nov 2026,per kamar per malam,SAR,2910,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,8,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 NOV 2026 TO 18 NOV 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 19 Nov - 18 Dec 2026,Single Room,FB meal plan,2026-11-19,2026-12-18,19 Nov - 18 Dec 2026,per kamar per malam,SAR,2220,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,9,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 19 NOV 2026 TO 18 DEC 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 19 Nov - 18 Dec 2026,Double Room,FB meal plan,2026-11-19,2026-12-18,19 Nov - 18 Dec 2026,per kamar per malam,SAR,2630,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,10,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 19 NOV 2026 TO 18 DEC 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
