city,tier,hotel_name,hotel_listing_slug,offer_label,room_type,rate_label,period_start,period_end,period_label,room_basis,currency,price_amount,max_adults,max_guests,min_nights,inclusions,cancellation_policy,sort_order,verified_at,status,notes,terms
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Jul 2026,Standard Room,Manual availability check,2026-07-01,2026-07-31,Jul 2026,per kamar per malam,SAR,720,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,0,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Aug 2026,Standard Room,Manual availability check,2026-08-01,2026-08-31,Aug 2026,per kamar per malam,SAR,720,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,1,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Sep 2026,Standard Room,Manual availability check,2026-09-01,2026-09-30,Sep 2026,per kamar per malam,SAR,650,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,2,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Oct 2026,Standard Room,Manual availability check,2026-10-01,2026-10-31,Oct 2026,per kamar per malam,SAR,650,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,3,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Nov 2026,Standard Room,Manual availability check,2026-11-01,2026-11-30,Nov 2026,per kamar per malam,SAR,650,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,4,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Dec 2026,Standard Room,Manual availability check,2026-12-01,2026-12-31,Dec 2026,per kamar per malam,SAR,810,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,5,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Jan 2027,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,6,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,,OTA manual dummy Feb 2027,Standard Room,Manual availability check,2027-02-01,2027-02-28,Feb 2027,per kamar per malam,SAR,1430,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,7,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar premium Madinah | Distance: within 100m / ring 1 | Source: Agoda https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PELATARAN,Emaar Elite Al Madina Hotel,,OTA manual dummy Jul 2026,Standard Room,Manual availability check,2026-07-01,2026-07-31,Jul 2026,per kamar per malam,SAR,500,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,100,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar close Madinah | Distance: 3 min walk | Source: Agoda https://www.agoda.com/emaar-elite-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,PELATARAN,Emaar Elite Al Madina Hotel,,OTA manual dummy Aug 2026,Standard Room,Manual availability check,2026-08-01,2026-08-31,Aug 2026,per kamar per malam,SAR,500,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,101,2026-07-04,INACTIVE,OTA researched - 2027 added - Emaar close Madinah | Distance: 3 min walk | Source: Agoda https://www.agoda.com/emaar-elite-hotel-al-madinah/hotel/medina-sa.html,"Dummy import fixture. Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
