city,tier,hotel_name,hotel_listing_slug,offer_label,room_type,rate_label,period_start,period_end,period_label,room_basis,currency,price_amount,max_adults,max_guests,min_nights,inclusions,cancellation_policy,sort_order,verified_at,status,notes,terms
MADINAH,STANDARD,Emaar Group,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,0,,INACTIVE,OTA approval draft - standard Madinah group,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Peninsula Worth,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,1,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Pullman Zam Zam,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,2,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,New Madinah,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,3,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Mokhtara Diamond Al Masi,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,4,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Grand Zowar,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,5,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Zowar al Alami,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,6,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PELATARAN,SAJA,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,540,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,7,,INACTIVE,OTA approval draft - closer Madinah option,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Al Mokhtara al Gharbi,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,8,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Diyafa al Mukhtara,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,9,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
