city,tier,label,sublabel,base_sar_per_night,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar
MADINAH,STANDARD,Emaar Group,OTA approval draft - standard Madinah group,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Peninsula Worth,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,PREMIUM,Pullman Zam Zam,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,STANDARD,New Madinah,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Mokhtara Diamond Al Masi,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Grand Zowar,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Zowar al Alami,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,PELATARAN,SAJA,OTA approval draft - closer Madinah option,1100,1400,2100,2200,1500,1100,1100,1200,1200,1100,1100,1100,1250
MADINAH,STANDARD,Al Mokhtara al Gharbi,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Diyafa al Mukhtara,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Madinah Deluxe Aram,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,STANDARD,Artal Taiba,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,PREMIUM,Madinah Hilton,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,STANDARD,Astoneast Taiba,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,PELATARAN,Saja al Madinah,OTA approval draft - closer Madinah option,1100,1400,2100,2200,1500,1100,1100,1200,1200,1100,1100,1100,1250
MADINAH,ECONOMY,ODEST,OTA approval draft - economy Madinah,450,600,850,900,650,450,450,500,500,450,450,450,550
MADINAH,STANDARD,Ajyal al Madina,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,PELATARAN,Bosphorus,OTA approval draft - closer Madinah option,1100,1400,2100,2200,1500,1100,1100,1200,1200,1100,1100,1100,1250
MADINAH,PREMIUM,Dallah Taiba,OTA approval draft - premium Madinah 4 star near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,PELATARAN,Golden Tulip,OTA approval draft - upper midscale Madinah,1100,1400,2100,2200,1500,1100,1100,1200,1200,1100,1100,1100,1250
MADINAH,PELATARAN,Tulip in Daar,OTA approval draft - upper midscale Madinah,1100,1400,2100,2200,1500,1100,1100,1200,1200,1100,1100,1100,1250
MADINAH,PREMIUM,Maden Taiba,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,ECONOMY,Diyar AlSaliheen,OTA approval draft - economy Madinah,450,600,850,900,650,450,450,500,500,450,450,450,550
MADINAH,STANDARD,Elaf Group,OTA approval draft - standard Madinah group,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,PREMIUM,Taiba Front,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,PREMIUM,Al Ritz Al Madinah,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,PREMIUM,Millennium al Aqeeq,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,PREMIUM,Movenpick,OTA approval draft - premium near Nabawi,1800,2300,3400,3600,2500,1800,1800,1950,1950,1800,1800,1800,2100
MADINAH,ECONOMY,Abraj al Marzam,OTA approval draft - economy Madinah,450,600,850,900,650,450,450,500,500,450,450,450,550
MADINAH,ECONOMY,Marjan Rose,OTA approval draft - economy Madinah,450,600,850,900,650,450,450,500,500,450,450,450,550
MADINAH,ECONOMY,Nusk al Hijrah,OTA approval draft - economy Madinah,450,600,850,900,650,450,450,500,500,450,450,450,550
MADINAH,STANDARD,Nusk al Madinah,OTA approval draft - standard Madinah,650,850,1250,1300,900,650,650,700,700,650,650,650,750
MADINAH,ECONOMY,Gacine Hotel,OTA approval draft - economy Madinah,450,600,850,900,650,450,450,500,500,450,450,450,550
MAKKAH,PELATARAN,Elaf Group,OTA approval draft - closer Makkah group,1800,2300,3500,3800,2200,1800,1800,1900,1900,1800,1800,1800,2000
MAKKAH,STANDARD,Manazel Ajyad,OTA approval draft - standard Makkah Ajyad,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,PELATARAN,Makarem Ajyad,OTA approval draft - upper Makkah Ajyad,1800,2300,3500,3800,2200,1800,1800,1900,1900,1800,1800,1800,2000
MAKKAH,STANDARD,Al Ebaa,OTA approval draft - standard Makkah,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Emaar Group,OTA approval draft - standard Makkah group,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Al Shahba,OTA approval draft - standard Makkah,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Mahd ar Resala,OTA approval draft - standard Makkah,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,ECONOMY,Afraa Hotel,OTA approval draft - economy Makkah,900,1200,1700,1800,1100,900,900,950,950,900,900,900,1000
MAKKAH,PREMIUM,Pullman Zam-Zam,OTA approval draft - premium tower near Haram,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,ECONOMY,Maysal al Talaqo,OTA approval draft - economy Makkah,900,1200,1700,1800,1100,900,900,950,950,900,900,900,1000
MAKKAH,PREMIUM,Movenpick,OTA approval draft - premium tower near Haram,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,PREMIUM,Makkah Tower,OTA approval draft - premium tower near Haram,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,PREMIUM,Safwa Tower 1,OTA approval draft - premium tower near Haram,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,PREMIUM,Safwa Orchid,OTA approval draft - premium tower near Haram,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,PREMIUM,Makkah Hotel Tower,OTA approval draft - premium tower near Haram,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,PELATARAN,Violet,OTA approval draft - upper midscale Makkah,1800,2300,3500,3800,2200,1800,1800,1900,1900,1800,1800,1800,2000
MAKKAH,PREMIUM,Anjum,OTA approval draft - premium Makkah 5 star,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,PREMIUM,Millennium,OTA approval draft - premium Makkah,2600,3400,5000,5500,3200,2600,2600,2800,2800,2600,2600,2600,3000
MAKKAH,STANDARD,Ibis,OTA approval draft - standard Makkah branded,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Mercure,OTA approval draft - standard Makkah branded,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Al fouad Tower,OTA approval draft - standard Makkah tower,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,PELATARAN,Voco,OTA approval draft - upper Makkah 4 star shuttle,1800,2300,3500,3800,2200,1800,1800,1900,1900,1800,1800,1800,2000
MAKKAH,STANDARD,Novotel Thakher,OTA approval draft - standard Makkah 4 star shuttle,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Miaad al Majd,OTA approval draft - standard Makkah,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Alayam Elite,OTA approval draft - standard Makkah,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,SAJA,OTA approval draft - standard Makkah,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,STANDARD,Al Hidayah Tower,OTA approval draft - standard Makkah tower,1300,1700,2500,2700,1600,1300,1300,1400,1400,1300,1300,1300,1500
MAKKAH,ECONOMY,Al Kiswah Tower,OTA approval draft - economy Makkah tower,900,1200,1700,1800,1100,900,900,950,950,900,900,900,1000
MAKKAH,ECONOMY,Saif al Majid,OTA approval draft - economy Makkah,900,1200,1700,1800,1100,900,900,950,950,900,900,900,1000
MAKKAH,ECONOMY,Palestine Hotel,OTA approval draft - economy Makkah,900,1200,1700,1800,1100,900,900,950,950,900,900,900,1000
