city,tier,label,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar
MADINAH,PELATARAN,Bosphorus,1815,1815,,,,1110,1110,1230,1355,1355,1383,1815
MADINAH,PREMIUM,Maden Taiba,2830,,,,,1180,1180,1280,1280,1330,1480,1480
MADINAH,STANDARD,Peninsula Worth,1230,1230,,,,900,900,900,1020,1020,1020,1530
MADINAH,PREMIUM,Dallah Taiba,1974,,,,,,1189,1189,1189,1189,1189,1249
MADINAH,PELATARAN,Grand Plaza Badr al maqom,,,,,,730,730,730,730,760,,
MADINAH,PREMIUM,Millennium al Aqeeq,,,,,,1055,1055,1055,1055,1140,1140,1140
MADINAH,PREMIUM,Movenpick,,,,,,1180,1180,1180,1180,1230,1230,
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,1005,1005,,,,755,755,755,905,905,905,1430
MADINAH,PREMIUM,Al Ritz Al Madinah,1170,1170,,,,790,790,850,850,930,930,1170
MADINAH,STANDARD,Grand Plaza Al Madina,,,,,,670,670,670,670,690,,
MADINAH,PREMIUM,Elaf Taiba,1155,1155,,,,1005,1005,1005,1005,1105,1105,
MADINAH,PELATARAN,Nozol Royal Inn,2330,,,,,930,930,1030,1030,1080,1280,1280
MADINAH,PREMIUM,Taiba Front,,,,,,950,950,950,,,,
MADINAH,PELATARAN,Emaar Elite Al Madina Hotel,980,980,,,,730,730,730,880,880,880,1405
MADINAH,PELATARAN,Emaar Mektan Hotel,980,980,,,,730,730,730,880,880,880,1405
MADINAH,STANDARD,Emaar Taibah,630,630,,,,490,490,490,575,575,575,750
MADINAH,STANDARD,Mokhtara Diamond Al Masi,730,730,,,,530,530,560,560,590,590,730
MADINAH,PREMIUM,Sanabel,,,,,,,700,730,,,,
MADINAH,STANDARD,Maysan Altaqwa,,,,,,510,510,510,510,540,,
MADINAH,STANDARD,Zowar al Alami,910,910,,,,600,600,650,650,730,730,910
MADINAH,ECONOMY,ODEST,910,910,,,,600,600,650,650,730,730,910
MADINAH,STANDARD,Al Mokhtara al Gharbi,710,710,,,,510,510,540,540,570,570,710
MADINAH,STANDARD,Grand Zowar,700,700,,,,500,500,530,530,560,560,700
MADINAH,STANDARD,Diyafa al Mukhtara,700,700,,,,500,500,530,530,560,560,700
MAKKAH,STANDARD,Prestige Ajyad,,,,,,810,810,,,,,
MAKKAH,PREMIUM,Elaf Kinda,1260,1260,1260,1260,,1160,1160,1220,1220,1220,1220,1220
MAKKAH,PREMIUM,Movenpick,1750,1750,,,,1500,1500,1550,1550,1700,1700,1700
MAKKAH,PREMIUM,Pullman Zam-Zam,,,,,,1480,1480,,,1625,1625,1625
MAKKAH,PREMIUM,Le Meridien Makkah,1100,1100,,,,1025,1025,1025,1100,1100,1100,1400
MAKKAH,PREMIUM,Makkah Hotel Tower,2020,2020,1820,1820,,1820,1820,1920,1920,1920,2020,2020
MAKKAH,PREMIUM,Makkah Tower,1700,1700,1500,1500,,1500,1500,1600,1600,1600,1700,1700
MAKKAH,PELATARAN,AZKA Al Safa,,,,,,650,730,780,780,,,
MAKKAH,STANDARD,Al Olayan Ajyad,,,,,,820,820,,,,,
MAKKAH,PREMIUM,Millennium,400,400,,,,400,400,400,400,400,400,465
MAKKAH,PELATARAN,Grand Al Massa,,,,,,525,585,645,575,,,
MAKKAH,STANDARD,Maysan Al Mashaer,,,,,,665,745,790,735,,,
MAKKAH,STANDARD,Maysan Al Maqam,,,,,,495,565,600,545,,,
MAKKAH,STANDARD,Royal Majestic,,,,,,505,630,660,560,,,
MAKKAH,STANDARD,Snood Ajyad,,,,,,580,580,580,580,,,
MAKKAH,STANDARD,Le Meridien Towers,545,545,,,,510,510,545,545,545,545,715
MAKKAH,PELATARAN,AZKA Al Maqam,,,,,,720,810,850,850,,,
MAKKAH,STANDARD,Manazel Ajyad,690,690,690,690,,620,620,660,660,660,660,660
MAKKAH,STANDARD,Elaf Bakkah,500,500,500,500,,440,440,480,480,480,480,480
MAKKAH,STANDARD,Elaf Qinwan,460,460,460,460,,400,400,440,440,440,440,440
MAKKAH,STANDARD,Al fouad Tower,,,,,,505,520,520,520,,,
MAKKAH,PELATARAN,Mira Ajyad,,,,,,620,620,620,650,650,,
MAKKAH,ECONOMY,Saif al Majid,,,,,,405,405,405,,,,
MAKKAH,STANDARD,Miaad al Majd,,,,,,350,350,350,,,,
