city,tier,label,sublabel,distance,agoda_url,bookingcom_url,tripcom_url,booking_url,base_sar_per_night,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar
MADINAH,STANDARD,Emaar Group,OTA recommended - 2027 updated - standard Madinah group,700m jalan kaki,,,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,OTA researched - 2027 added - Emaar premium Madinah,within 100m / ring 1,https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,https://www.booking.com/hotel/sa/al-eman-royal.html,,,650,810,1430,1620,910,1200,650,720,720,650,650,650,810
MADINAH,PELATARAN,Emaar Elite Al Madina Hotel,OTA researched - 2027 added - Emaar close Madinah,3 min walk,https://www.agoda.com/emaar-elite-hotel-al-madinah/hotel/medina-sa.html,https://www.booking.com/hotel/sa/mawadah-al-salwa.html,,,450,540,900,990,580,800,450,500,500,450,450,450,540
MADINAH,PELATARAN,Emaar Mektan Hotel,OTA researched - 2027 added - Emaar close Madinah,375m / 4-5 min walk,https://www.agoda.com/golden-tulip-al-mektan-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/golden-tulip-madinah.html,,,450,540,900,990,580,800,450,500,500,450,450,450,540
MADINAH,STANDARD,Emaar Taibah,OTA researched - 2027 added - Emaar standard Madinah,within 10 min walk,https://www.agoda.com/emaar-taiba-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/emaar-taiba-medina.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,STANDARD,Peninsula Worth,OTA recommended - 2027 updated - standard Madinah,800m jalan kaki,https://www.agoda.com/peninsula-worth-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/peninsula-worth.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,PREMIUM,Pullman Zam Zam,OTA recommended - 2027 updated - premium near Nabawi,900m jalan kaki,https://www.agoda.com/pullman-zamzam-madina/hotel/medina-sa.html,https://www.booking.com/hotel/sa/pullman-zamzam-madina.html,,,650,810,1430,1620,910,1200,650,720,720,650,650,650,810
MADINAH,STANDARD,New Madinah,OTA recommended - 2027 updated - standard Madinah,1 km jalan kaki,,https://www.booking.com/hotel/sa/new-madinah-hotel.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,STANDARD,Sky View Hotel,OTA researched - 2027 added - standard Madinah near Nabawi,600m jalan kaki / 8 min walk,https://www.agoda.com/en-in/sky-view-madinah-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/sky-view.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,STANDARD,Mokhtara Diamond Al Masi,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,https://www.agoda.com/mokhtara-diamond/hotel/medina-sa.html,https://www.booking.com/hotel/sa/al-mokhtara-diamond.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,STANDARD,Grand Zowar,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,,https://www.booking.com/hotel/sa/grand-zowar.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
MADINAH,STANDARD,Zowar al Alami,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,https://www.agoda.com/zowar-international-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/zowar-international.html,,,250,290,450,500,300,450,250,260,260,250,250,250,290
