city,tier,label,sublabel,distance,agoda_url,bookingcom_url,tripcom_url,booking_url,base_sar_per_night,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar,ref_current_sar,ref_source,ref_url,akurasi
MADINAH,STANDARD,Emaar Group,OTA recommended - 2027 updated - standard Madinah group,700m jalan kaki,,,,,290,480,755,695,390,580,290,305,320,335,375,420,520,290,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Dar-Aleiman-Al-Haram.2042492.ksp,estimasi-musiman
MADINAH,PREMIUM,Emaar Royal Hotel Al Madina,OTA researched - 2027 added - Emaar premium Madinah,within 100m / ring 1,https://www.agoda.com/emaar-royal-hotel-al-madinah/hotel/medina-sa.html,https://www.booking.com/hotel/sa/al-eman-royal.html,,,300,495,780,720,405,600,300,315,330,345,390,435,540,300,OTA re-riset low-season (validated),https://www.momondo.com/hotels/medina/Emaar-Royal-Hotel.mhd496542.ksp,estimasi-musiman
MADINAH,PELATARAN,Emaar Elite Al Madina Hotel,OTA researched - 2027 added - Emaar close Madinah,3 min walk,https://www.agoda.com/emaar-elite-hotel-al-madinah/hotel/medina-sa.html,https://www.booking.com/hotel/sa/mawadah-al-salwa.html,,,340,560,885,815,460,680,340,355,375,390,440,495,610,340,OTA re-riset low-season (validated),https://www.momondo.com/hotels/medina/Mawaddah-Al-Safwah-Hotel.mhd633981.ksp,estimasi-musiman
MADINAH,PELATARAN,Emaar Mektan Hotel,OTA researched - 2027 added - Emaar close Madinah,375m / 4-5 min walk,https://www.agoda.com/golden-tulip-al-mektan-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/golden-tulip-madinah.html,,,330,545,860,790,445,660,330,345,365,380,430,480,595,330,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Emaar-Al-Mektan-Hotel.753753.ksp,estimasi-musiman
MADINAH,STANDARD,Emaar Taibah,OTA researched - 2027 added - Emaar standard Madinah,within 10 min walk,https://www.agoda.com/emaar-taiba-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/emaar-taiba-medina.html,,,235,390,610,565,315,470,235,245,260,270,305,340,425,235,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Emaar-Taiba-Hotel.1070728247.ksp,estimasi-musiman
MADINAH,STANDARD,Peninsula Worth,OTA recommended - 2027 updated - standard Madinah,800m jalan kaki,https://www.agoda.com/peninsula-worth-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/peninsula-worth.html,,,470,775,1220,1130,635,940,470,495,515,540,610,680,845,470,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Peninsula-Worth-Hotel.1072321660.ksp,estimasi-musiman
MADINAH,PREMIUM,Pullman Zam Zam,OTA recommended - 2027 updated - premium near Nabawi,900m jalan kaki,https://www.agoda.com/pullman-zamzam-madina/hotel/medina-sa.html,https://www.booking.com/hotel/sa/pullman-zamzam-madina.html,,,350,580,910,840,475,700,350,370,385,400,455,510,630,350,OTA re-riset low-season (validated),https://www.momondo.com/hotels/medina/Pullman-Zamzam-Madina.mhd2232715.ksp,estimasi-musiman
MADINAH,STANDARD,New Madinah,OTA recommended - 2027 updated - standard Madinah,1 km jalan kaki,,https://www.booking.com/hotel/sa/new-madinah-hotel.html,,,300,495,780,720,405,600,300,315,330,345,390,435,540,300,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Madinah-Moevenpick-Hotel.305036.ksp,estimasi-musiman
MADINAH,STANDARD,Sky View Hotel,OTA researched - 2027 added - standard Madinah near Nabawi,600m jalan kaki / 8 min walk,https://www.agoda.com/en-in/sky-view-madinah-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/sky-view.html,,,225,370,585,540,305,450,225,235,250,260,290,325,405,225,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Sky-View-Hotel-Madinah.9129341.ksp,estimasi-musiman
MADINAH,STANDARD,Mokhtara Diamond Al Masi,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,https://www.agoda.com/mokhtara-diamond/hotel/medina-sa.html,https://www.booking.com/hotel/sa/al-mokhtara-diamond.html,,,270,445,700,650,365,540,270,285,295,310,350,390,485,270,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Al-Mokhtara-Diamond.1070906998.ksp,estimasi-musiman
MADINAH,STANDARD,Grand Zowar,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,,https://www.booking.com/hotel/sa/grand-zowar.html,,,225,370,585,540,305,450,225,235,250,260,290,325,405,225,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Grand-Zowar-Hotel.4710815.ksp,estimasi-musiman
MADINAH,STANDARD,Zowar al Alami,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,https://www.agoda.com/zowar-international-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/zowar-international.html,,,218,360,565,525,295,435,220,230,240,250,285,315,390,218,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Zowar-International-Hotel.519304.ksp,estimasi-musiman
MADINAH,PELATARAN,SAJA,OTA recommended - 2027 updated - closer Madinah option,300m jalan kaki,https://www.agoda.com/saja-al-madinah_2/hotel/medina-sa.html,https://www.booking.com/hotel/sa/saja-al-madinah.html,,,274,450,710,660,370,550,275,290,300,315,355,395,495,274,OTA re-riset low-season (validated),https://www.momondo.com/hotels/medina/Saja-Al-Madinah.mhd3166537.ksp,estimasi-musiman
MADINAH,STANDARD,Al Mokhtara al Gharbi,OTA recommended - 2027 updated - standard Madinah,500m jalan kaki,,,,,260,430,675,625,350,520,260,275,285,300,340,375,470,260,OTA re-riset low-season (validated),https://www.hotelscombined.com/Hotel/Al_Mukhtara_Al_Gharbi_Hotel.htm,estimasi-musiman
MADINAH,STANDARD,Diyafa al Mukhtara,OTA recommended - 2027 updated - standard Madinah,600m jalan kaki,https://www.agoda.com/dyafat-al-mokhtara/hotel/medina-sa.html,https://www.booking.com/hotel/sa/dyafat-al-mokhtara.html,,,210,345,545,505,285,420,210,220,230,240,275,305,380,210,OTA re-riset low-season (validated),https://en.planetofhotels.com/saudi-arabia/al-madinah/dyafat-al-mokhtara,estimasi-musiman
MADINAH,STANDARD,Madinah Deluxe Aram,OTA recommended - 2027 updated - standard Madinah,700m jalan kaki,,,,,160,265,415,385,215,320,160,170,175,185,210,230,290,160,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Aram-Hotel.9691654.ksp,estimasi-musiman
MADINAH,STANDARD,Artal Taiba,OTA recommended - 2027 updated - standard Madinah,600m jalan kaki,https://www.agoda.com/h33383119/hotel/medina-sa.html,https://www.booking.com/hotel/sa/fndq-rtl-lmdynh.html,,,175,290,455,420,235,350,175,185,195,200,230,255,315,175,OTA re-riset low-season (validated),https://www.momondo.com/hotels/medina/Artal-Taiba-Hotel.mhd6136786.ksp,estimasi-musiman
MADINAH,PREMIUM,Madinah Hilton,OTA recommended - 2027 updated - premium near Nabawi,100m jalan kaki,https://www.agoda.com/madinah-hilton/hotel/medina-sa.html,https://www.booking.com/hotel/sa/madinah-hilton.html,,,596,985,1550,1430,805,1190,595,625,655,685,775,865,1075,596,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Madinah-Hilton.59980.ksp,estimasi-musiman
MADINAH,STANDARD,Astoneast Taiba,OTA recommended - 2027 updated - standard Madinah,600m jalan kaki,https://www.agoda.com/en-in/artal-al-alami-hotel/hotel/medina-sa.html,https://www.booking.com/hotel/sa/artal-international.html,,,205,340,535,490,275,410,205,215,225,235,265,295,370,205,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Artal-International-Hotel.8680706.ksp,estimasi-musiman
MADINAH,PELATARAN,Saja al Madinah,OTA recommended - 2027 updated - closer Madinah option,300m jalan kaki,https://www.agoda.com/saja-al-madinah_2/hotel/medina-sa.html,https://www.booking.com/hotel/sa/saja-al-madinah.html,,,290,480,755,695,390,580,290,305,320,335,375,420,520,290,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Saja-Al-Madinah-Hotel.3166537.ksp,estimasi-musiman
MADINAH,ECONOMY,ODEST,OTA recommended - 2027 updated - economy Madinah,200m jalan kaki,https://www.agoda.com/odst-al-madinah/hotel/medina-sa.html,https://www.booking.com/hotel/sa/odst-al-madinah.html,,,250,410,650,600,340,500,250,260,275,290,325,360,450,250,OTA re-riset low-season (validated),https://www.kayak.com/Medina-Hotels-Odst-Al-Madinah-Hotel.2913623.ksp,estimasi-musiman
